distance,R_random,P_ppo
1,0.5325,0.8
2,0.2915,0.8
3,0.159,0.8
4,0.112,0.7
5,0.062,0.6
6,0.035,0.5
7,0.0175,0.1
8,0.014,0.1
9,0.0035,0.0
10,0.002,0.1
11,0.0005,0.1
12,0.001,0.1
13,0.0,0.1
14,0.0,0.1
15,0.0,0.1
16,0.0,0.1
17,0.0,0.1
18,0.0,0.1
19,0.0,0.1
20,0.0,0.1
